date,code,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,000001,8.61,8.78,8.66,8.45,988282.75,0.06,0.7,8.63,8.907,9.449,1025112.71,1027613.96,974164.02
2018-07-05,000001,8.62,8.73,8.6,8.55,835768.81,-0.01,-0.12,8.716,9.026,9.534,962516.1,994567.54,987881.79
2018-07-04,000001,8.63,8.75,8.61,8.61,711153.38,-0.06,-0.69,8.78,9.152,9.611,1017515.14,994997.74,981730.52
2018-07-03,000001,8.69,8.7,8.67,8.45,1274838.5,0.06,0.7,8.876,9.282,9.694,1084313.01,1000246.12,978999.89
2018-07-06,000002,23.34,23.6,23.21,22.65,346930.0,0.16,0.69,23.096,24.021,25.742,452051.67,495562.44,512188.16
2018-07-05,000002,23.02,23.41,23.05,22.85,267278.59,0.05,0.22,23.374,24.51,25.951,453242.65,505306.1,524718.44
2018-07-04,000002,23.46,23.75,23.0,23.0,249881.05,-0.42,-1.79,23.54,24.978,26.148,492289.49,556371.44,536762.64
2018-07-03,000002,23.1,23.48,23.42,22.8,549964.88,0.62,2.72,23.784,25.374,26.372,576782.73,570723.38,554610.66
2018-07-06,000004,18.98,19.06,19.04,18.35,3543.99,-0.04,-0.21,19.156,19.1,19.495,2526.96,2831.76,2649.96
2018-07-05,000004,19.26,19.26,19.08,18.75,1916.0,-0.13,-0.68,19.268,19.099,19.605,2667.93,2576.02,2577.71
2018-07-04,000004,19.36,19.65,19.21,19.05,1940.01,-0.14,-0.72,19.258,19.074,19.717,2666.37,2565.02,2594.0
2018-07-03,000004,19.31,19.49,19.35,18.91,3024.61,0.25,1.31,19.194,19.068,19.835,2703.91,2576.52,2649.19
2018-07-06,000005,2.89,2.89,2.87,2.8,37413.27,0.01,0.35,2.898,2.918,3.004,37257.32,38531.6,49469.39
2018-07-05,000005,2.93,2.93,2.86,2.86,33836.69,-0.07,-2.39,2.916,2.924,3.03,37450.27,39953.1,49134.57
2018-07-04,000005,2.93,2.98,2.93,2.89,43435.65,0.0,0.0,2.924,2.929,3.056,39150.73,47032.04,49297.91
2018-07-03,000005,2.89,2.94,2.93,2.89,29116.0,0.03,1.03,2.928,2.926,3.081,39364.06,54953.54,48832.6
2018-07-06,000006,5.4,5.43,5.32,5.14,120183.48,-0.04,-0.75,5.506,5.674,6.129,136424.21,114523.93,116286.82
2018-07-05,000006,5.65,5.66,5.36,5.31,149727.39,-0.34,-5.96,5.614,5.741,6.21,131659.76,111472.24,113875.83
2018-07-04,000006,5.61,5.87,5.7,5.6,144019.86,0.05,0.89,5.682,5.817,6.289,116853.3,107972.23,110310.9
2018-07-03,000006,5.53,5.67,5.65,5.46,115021.76,0.15,2.73,5.698,5.866,6.355,108942.21,109503.65,108401.04
2018-07-06,000007,13.4,13.5,13.41,13.2,12769.5,0.13,0.98,13.348,13.51,13.588,8386.15,11404.06,12279.16
2018-07-05,000007,13.38,13.41,13.28,13.19,6230.54,-0.1,-0.75,13.344,13.553,13.608,12398.2,11119.71,13016.28
2018-07-04,000007,13.42,13.42,13.38,13.23,5952.52,-0.03,-0.22,13.42,13.615,13.609,12557.29,11270.61,13128.67
2018-07-03,000007,13.08,13.58,13.41,13.08,10894.2,0.15,1.13,13.492,13.666,13.606,13282.59,11885.2,13209.55
2018-07-06,000009,4.74,4.84,4.72,4.5,123765.2,0.0,0.0,4.778,4.808,5.039,105450.97,101180.67,109823.1
2018-07-05,000009,4.86,4.89,4.72,4.68,117226.13,-0.07,-1.46,4.814,4.82,5.091,111444.2,98910.02,106480.51
2018-07-04,000009,4.86,4.9,4.79,4.72,99324.54,-0.09,-1.84,4.824,4.819,5.145,104459.08,100714.68,103755.75
2018-07-03,000009,4.78,4.89,4.88,4.74,92229.0,0.1,2.09,4.828,4.825,5.195,104385.76,104529.09,102173.73
2018-07-06,000010,3.9,4.0,3.96,3.83,94078.3,0.09,2.33,3.924,3.924,3.901,87907.76,89792.84,99465.86
2018-07-05,000010,4.07,4.07,3.87,3.87,88387.01,-0.1,-2.52,3.914,3.929,3.892,89825.38,91834.61,99561.9
2018-07-04,000010,3.95,4.01,3.97,3.88,90095.1,0.02,0.51,3.916,3.947,3.89,91121.1,95617.9,99582.59
2018-07-03,000010,3.87,3.95,3.95,3.82,85603.0,0.08,2.07,3.884,3.952,3.882,94190.08,101721.29,103478.78
